pagina,id,nombre,categoria,ubicacion,url
1,15073,LECLA Hombre & Mujer,alquiler-de-trajes,alquiler-de-trajes,https://guiarsanrafael.com.ar/empresa/lecla-hombre-mujer/
1,15109,EXPRESO SENDEROS,expresos-transporte-encomiendas,expresos,https://guiarsanrafael.com.ar/empresa/expreso-senderos/
1,15122,FLORENCIA VIZCAINO,neumonologia,neumonologia,https://guiarsanrafael.com.ar/empresa/florencia-vizcaino/
1,15143,MARIA LOURDES DIAZ CHAIN,diagnostico-por-imagenes-ecografia-mamografias,diagnostico-por-imagenes,https://guiarsanrafael.com.ar/empresa/maria-lourdes-diaz-chain/
1,15147,MIKA Pet Shop,alimentos-balanceados,alimentos-balanceados,https://guiarsanrafael.com.ar/empresa/mika-pet-shop/
1,15148,EDUKAN San Rafael,escuela-de-adiestramiento,escuela-de-adiestramiento,https://guiarsanrafael.com.ar/empresa/edukan-san-rafael/
1,15150,ALOHA Heladerias 🍨,congelados,congelados,https://guiarsanrafael.com.ar/empresa/aloha-heladerias-%f0%9f%8d%a8/
1,15151,ALOHA Heladerias 🍨,distribuidoras,distribuidoras,https://guiarsanrafael.com.ar/empresa/aloha-heladerias-%f0%9f%8d%a8-2/
1,15214,BURBUJA Artículos de Limpieza,articulos-de-limpieza-todo-suelto,articulos-de-limpieza,https://guiarsanrafael.com.ar/empresa/15214/
1,15228,SEI TU Heladeria San Rafael,heladerias-postres,heladerias,https://guiarsanrafael.com.ar/empresa/sei-tu-heladeria-san-rafael/
2,14906,SRA. MILA Fábrica de Milanesas,casa-de-comidas-rotiseria-viandas,casa-de-comidas,https://guiarsanrafael.com.ar/empresa/sra-mila-fabrica-de-milanesas/
2,14921,EN NUESTRA SALSA Pastalinda,fabrica-de-pastas,fabrica-de-pastas,https://guiarsanrafael.com.ar/empresa/en-nuestra-salsa-pastalinda/
2,14938,DE CAMPO CARNES,almacen-minimarket,carniceria,https://guiarsanrafael.com.ar/empresa/de-campo-carnes/
2,14965,NOBEL 2 Bazar,bazar-regaleria,bazar-regaleria,https://guiarsanrafael.com.ar/empresa/nobel-2-bazar/
2,14991,MODO LIMPIO Artículos de Limpieza,alimentos-balanceados,alimentos-balanceados,https://guiarsanrafael.com.ar/empresa/modo-limpio-articulos-de-limpieza/
