Nombre,Apellidos,"Dirección de correo","Número de teléfono",WhatsApp,"Dirección","Sitio web",Instagram,Facebook,"Google Maps URL",Verificado,Premium,"Etapa del ciclo de vida"
"Hotel Regine- 2 Estrellas","",,5492604531997,5492604531997,"Independencia 623 -Ciudad",http://www.hotelregine.com.ar,https://www.instagram.com/hotelregine/?hl=es,,,No,No,Lead
"BLAXON Steak House & Bar - RESTAURANTE - Ciudad","",,,,"Cuba 17 Shopping -Local 1 y 5",,https://www.instagram.com/blaxonrestaurante/,,,No,No,Lead
"Lucy Sol Cabañas – Las Paredes","",,5492604576564,5492604576564,"Sarmiento 5100 – Las Paredes",,,https://www.facebook.com/p/Lucy-Sol-Caba%C3%B1as-San-Rafael-MZA-100057816513025/?locale=es_LA,,No,No,Lead
"LA DELICIA Heladería","",,2604422016,2604422016,"Domicilio   Buenos Aires 51 – Ciudad",,https://www.instagram.com/ladeliciahelados/?hl=es,,,No,No,Lead
"FUNEZ UN BAR - Café - Bar","",,"Ciudad de San Rafael.""",2604310229,"""Domicilio   Dean Funes 890",,,https://www.instagram.com/funez.unbar/,,No,No,Lead
"CHAKANA Bar - Valle Grande","",,,,"R. Prov. 173 Km 20 – Valle Grande",http://www.saintjosephweb.com.ar,,,,No,No,Lead
"TOSCANA Restó - Ciudad","",,2604406178,2604406178,"Domicilio  Castelli 19 Ciudad",,https://www.instagram.com/toscana_resto/?locale=zh-hans,,,No,No,Lead
"Hotel Kalton – 3 Estrellas","",,2604430047154060328,2604430047154060328,"Av. Hipólito Yrigoyen 120 – Ciudad",http://www.kaltonhotel.com,https://www.instagram.com/hotelkalton/?hl=es,,,No,No,Lead
"Cabañas La Posta Del Cholo – Valle Grande","",," km 24 – Valle Grande""",,"""Ruta Prov. 173",,,https://www.instagram.com/postadelcholo/?hl=es,,No,No,Lead
"LA GRINGA (Restó) - Ciudad","",,,,"Domicilio  Chile 26 – Ciudad",,https://www.instagram.com/lagringasr/,,,No,No,Lead
"RISCO VIAJES E.V.T. - Excursiones Locales y Turismo Emisivo.","",,,,"Av. San Martín 261 -Ciudad",https://www.riscoviajes.com/,https://www.instagram.com/riscoviajes/?hl=es-la,https://www.riscoviajes.com/,,No,No,Lead
"Museo Posada Benelli - Las Paredes","",,2604826030,2604826030,"Domicilio  Toledano norte 2960",,https://www.instagram.com/museoposadabenelli/,,,No,No,Lead
"Big Bon - Ciudad","",,,,"Av. Hipólito Yrigoyen 1625 – Ciudad",,https://www.instagram.com/bigbonresto/,https://www.facebook.com/Big-bon-100443642467974/,,No,No,Lead
"Nelumbo Petit Chalet – Las Paredes","",,260154636280,260154636280,"Bentos 1400- Las Paredes",https://nelumbochalet.com.ar/,https://www.instagram.com/nelumbochalet/?hl=es,,,No,No,Lead
"OLULA - Café de especialidad","",,"  Ciudad""","","""Domicilio    República de Siria 96","",https://www.instagram.com/olulacafeteria/,https://www.instagram.com/olula.sr/,,No,No,Lead
"Cabañas Río Soñado – Valle Grande","",," km 13","5 – Valle Grande""","""Ruta Prov. 173",,,http://www.cabanasriosoniado.com.ar/,,No,No,Lead
"MILLANTI E.V.T. Excursiones Locales","",,2604446540154062333,2604446540154062333,"Francia 56 -Ciudad",http://www.millantiviajes.com.ar/,https://www.instagram.com/millanti_viajes/,https://www.facebook.com/millanti/,,No,No,Lead
"LA BICICLETA Resto Bar - Valle Grande","",,"5 – Valle Grande""",,"""Domicilio  R. Prov. 173 km. 20",,,https://www.instagram.com/labicicletaresto/,,No,No,Lead
"ENCUENTRO`S Café Resto Bar - Ciudad","",,,,"Paseo de Los Niños 30- Parque Hipólito Yrigoyen- Ciudad",,,,,No,No,Lead
"MORITA MIA- Complejo Vacacional - Rama Caída.","",,1166757437,1166757437,"Calle Quiroga 500 – Rama Caída.-",https://moritamia.com.ar/,https://instagram.com/complejo.moritamia?utm_medium=copy_link,https://www.facebook.com/complejo.moritamia?mibextid=LQQJ4d,,No,No,Lead
"EL NIHUIL (Restaurante-Parrilla) - El Nihuil","",,549260565787,549260565787,"Domicilio  Grassi 65 – El Nihuil",,,,,No,No,Lead
"Complejo Turístico Abraham- Ciudad","",,260154322262,260154322262,"Perú 240 – Ciudad",,https://www.instagram.com/abraham_complejo_turistico/,,,No,No,Lead
"Complejo Villa Hermosa – Rama Caída","",,,,"La Bodega S N – Rama Caída",http://complejovillahermosa.com/,,,,No,No,Lead
"BUFETT TERMINAL DE OMNIBUS - Ciudad","",,,,"Gral. Paz 980 – Ciudad",,,,,No,No,Lead
"Hostel Amukan - Ciudad","",,,,"Av. 9 de Julio 1336 – Ciudad",,https://www.instagram.com/amukangh/?hl=es-la,,,No,No,Lead
"FRAMBUESA- Café - Pastelería","",,2613895474,2613895474,"Domicilio         Jose Hernández 2477 – Ciudad",,https://www.instagram.com/frambuesa.cake/,,,No,No,Lead
"Cabañas Cerro Encantado – 2 Estrellas – Valle Grande","",,2604045367,2604045367,"Ruta Prov. 173 km 18 – Valle Grande",,https://www.instagram.com/cerro_encantado/,,,No,No,Lead
"Cabañas Altos De La Bodega – Rama Caída","",,260154693148341156577265,260154693148341156577265,"La Bodega 250 – Rama Caída",http://www.altosdelabodega.com.ar/,https://www.instagram.com/altosdelabodega/,https://www.facebook.com/altosdelabodega.com.ar/,,No,No,Lead
"COLOR CAFÉ - Villa 25 de Mayo","",,5492604570715,5492604570715,"Domicilio  9 de Julio esq. San Martin – Villa 25 de Mayo",,https://www.instagram.com/restaurante.colorcafe/?hl=es,https://www.facebook.com/Restaurante-Color-Cafe-1812221962390806,,No,No,Lead
"EL PALACIO DE LA EMPANADA","",,"0260 442-0685","","Cnel. Suárez 675, M5600 San Rafael, Mendoza, Argentina","",https://www.instagram.com/elpalaciodelaempanada2020/,"",https://maps.google.com/?cid=7732731795516474261,No,No,Lead
"Apart Hotel Villa María Florales - Cuadro Benegas","",,5492604597703,5492604597703,"Ruta Nacional 144 km 665 – Cuadro Benegas",http://www.mariaflorales.com.ar/,https://www.instagram.com/complejo_mariaflorales/,,,No,No,Lead
"Cabañas Del Sol – Valle Grande","",,"km 19","9- Valle Grande""","""Ruta Prov. 173",260154530098154400485,,http://www.cabanasdelsol.com.ar/,,No,No,Lead
"BONAFIDE (Café) - Ciudad","",,,,"Domicilio  Av. Hip. Yrigoyen 87 – Ciudad",,https://www.instagram.com/bonafide.sanrafael/?hl=es-la,,,No,No,Lead
"SOL Y AVENTURA - Excursiones Locales","",,2614193366,2614193366,"San Rafael",https://solyaventura.tur.ar/Instagram:,https://www.instagram.com/solyaventura.sr/,,,No,No,Lead
"Cabañas Camino al Valle- Rama Caída","",,,,"Lucato 400- Rama Caída",,https://www.instagram.com/camino_al_valle/,https://www.facebook.com/Caminoalvalle,,No,No,Lead
"Cabañas El Eden – Las Paredes","",,5492604597072,5492604597072,"El Toledano Sur 500 – Las Paredes",http://www.eledensanrafael.com.ar/,,,,No,No,Lead
"CUARZO VIAJES Y TURISMO","",,,,"Av. Balloffet 2.050 – Ciudad 54 9 2604 56-2363",https://cuarzoviajes.com.ar/,https://www.instagram.com/cuarzovyt/,,,No,No,Lead
"LA POSTA DEL CHOLO (Restó) - Valle Grande - (1)","",,,,"Ruta Prov. N  173 km 18 – Valle Grande",,https://www.instagram.com/postadelcholo/,https://www.facebook.com/laposta.delcholo,,No,No,Lead
"EMPRESA DE TURISMO ITALO BUTTINI -E.V.T.- Turismo Emisivo.","",,,,"Corrientes 494 – Ciudad",,https://www.instagram.com/turismobuttini/?hl=es-la,https://www.facebook.com/turismo.buttini/,,No,No,Lead
"RAFFEISH - Valle Grande","",,,,"R. Prov. 173 km 29 – Valle Grande",https://www.raffeish.com.ar/,https://www.instagram.com/raffeishturismo/,,,No,No,Lead
"Casas Viejas – Las Paredes","",,,,"Valentín Bianchi 6500 – Las Paredes",http://www.fincacasasviejas.com.ar/,,,,No,No,Lead
"HOT POLLO San Rafael - Ciudad","",,,,"Domicilio  Avda Hipólito Yrigoyen 813 – Ciudad",,https://www.instagram.com/hot.pollo/?hl=es-la#,,,No,No,Lead
"EL FORTIN Café - Ciudad","",,,,"Domicilio  Barcala y Las Heras – Ciudad",,https://www.instagram.com/elfortinpanaderia/?hl=es,,,No,No,Lead
"Cabañas Saint Bernard – Cuadro Nacional","",,5492604682657,5492604682657,"Avenida  Alberdi 6500 – Cuadro Nacional",,,,,No,No,Lead
"Apart Hotel Tierra Mora - Ciudad","",,5491157002168,5491157002168,"Ameghino 350 – Ciudad",https://www.tierramora.com.ar/es/,,,,No,No,Lead
"PASTELLA- Café - Pastelería","",,2604342496,2604342496,"Domicilio  Av. San Martín 435 – Ciudad",,https://www.instagram.com/pastella.sr/,,,No,No,Lead
"Casas de Campo La Josefina – Rama Caída","",,,,"Los Olivos 1050 – Rama Caída",,,,,No,No,Lead
"RISTTRETO Café","",,2604557559,2604557559,"Domicilio  Pellegrini 40    – Ciudad",,https://www.instagram.com/ristretto.cafe.bar/?hl=es-la,,,No,No,Lead
"Cabañas La Palloza – Cuadro Benegas","",,"5 – Cuadro Benegas""",261156057074,"""Ruta 144 km 672",,,https://www.instagram.com/complejolapalloza/,,No,No,Lead
"Cabañas Del Cerro – Valle Grande","",," km 17","9 – Valle Grande""","""Ruta Prov. 173",,,http://www.complejodelcerro.com/,,No,No,Lead
"LA ABEJA (Bodega / Espumantes) - Ciudad","",,,,"Av. Hipólito Yrigoyen 1900 – Ciudad",http://www.bodegalaabeja.com.ar,https://www.instagram.com/bodegalaabeja/?hl=es-la,https://www.facebook.com/Laabejabodega,,No,No,Lead
"HOGAREÑO&#8217;S 🏡-Restaurante y Comidas para llevar","",,km498,"Salto de las Rosas- San Rafael""","""Domicilio  Ruta Nacional 143",2604560330,,,,No,No,Lead
"Hostel Nido - Ciudad","",,2604222133,2604222133,"Cnel. Ricardo Day 111 – Ciudad",,https://www.instagram.com/nido_hostel/?hl=es-la,https://www.facebook.com/nidohostel,,No,No,Lead
"LABIANO (Bodega / Espumantes) - Rama Caída","",,5492604635030,5492604635030,"Cubillos 3850 – Rama Caída",http://www.bodegalabiano.com,https://www.instagram.com/bodegalabiano/?hl=es-la,https://www.facebook.com/bodega.labiano,,No,No,Lead
"EL PINITO - Heladerías","",,2604595379,2604595379,"Domicilio  Av. Hipólito Yrigoyen 1565 – Ciudad",,https://www.instagram.com/elpinito_helados/?hl=es,,,No,No,Lead
"DE MARTIS TURISMO- E.V.T. (Sucursal San Rafael) - Turismo Emisivo","",,,,"Chile 462 –  Local 2- Planta Baja – Ciudad",http://www.demartis.com.ar/,,,,No,No,Lead
"Cabañas Posada Del Angel- Valle Grande","",,"8 – Valle Grande""",260154641782154605066,"""Ruta Prov. N  173 km 14",,http://www.posadasdelangel.com.ar/,https://www.instagram.com/posadasdelangelvallegrande/,,No,No,Lead
