id,nombre,email,telefono,whatsapp,direccion,website,instagram,facebook,google_maps_url,is_premium,verificado
1,"Cabañas Rocas Amarillas- 2 Estrellas – Valle Grande",,"1 – Valle Grande""",260154624765,"""Ruta Prov. 173 – km 29",,http://www.rocas-amarillas.com.ar/,https://www.instagram.com/rocas_amarillas/,,,0
2,"Hostel Shanti-Las Paredes",,260154660674154663902,260154660674154663902,"Av. Hipólito Yrigoyen 2602 -Las Paredes",http://www.shantihostel.com.ar/,https://www.instagram.com/shanti.hostel/?hl=es,https://www.facebook.com/Shanti-Hostel-169966623058058/?ref=br_rs,,,0
3,"Hotel Regine- 2 Estrellas",,5492604531997,5492604531997,"Independencia 623 -Ciudad",http://www.hotelregine.com.ar,https://www.instagram.com/hotelregine/?hl=es,,,,0
4,"BLAXON Steak House & Bar - RESTAURANTE - Ciudad",,,,"Cuba 17 Shopping -Local 1 y 5",,https://www.instagram.com/blaxonrestaurante/,,,,0
5,"Lucy Sol Cabañas – Las Paredes",,5492604576564,5492604576564,"Sarmiento 5100 – Las Paredes",,,https://www.facebook.com/p/Lucy-Sol-Caba%C3%B1as-San-Rafael-MZA-100057816513025/?locale=es_LA,,,0
6,"Cabañas Cangallo - Ciudad",,5492604582250,5492604582250,"Cangallo 1428- Ciudad",https://www.cabanascangallo.com/?fbclid=PAZXh0bgNhZW0CMTEAAafc-XQ70qYCDCCwIE0h1mAHYTmVL9GtM8Euv9XGCChGatQ-zA7rUeAvVR1WXA_aem_ufgDL554yRPdLMV20fQwJw,https://www.instagram.com/cabanascangallo.sanrafael/?hl=es,,,,0
7,"LA DELICIA Heladería",,2604422016,2604422016,"Domicilio   Buenos Aires 51 – Ciudad",,https://www.instagram.com/ladeliciahelados/?hl=es,,,,0
8,"FUNEZ UN BAR - Café - Bar",,"Ciudad de San Rafael.""",2604310229,"""Domicilio   Dean Funes 890",,,https://www.instagram.com/funez.unbar/,,,0
9,"CHAKANA Bar - Valle Grande",,,,"R. Prov. 173 Km 20 – Valle Grande",http://www.saintjosephweb.com.ar,,,,,0
10,"TOSCANA Restó - Ciudad",,2604406178,2604406178,"Domicilio  Castelli 19 Ciudad",,https://www.instagram.com/toscana_resto/?locale=zh-hans,,,,0
11,"Hotel Kalton – 3 Estrellas",,2604430047154060328,2604430047154060328,"Av. Hipólito Yrigoyen 120 – Ciudad",http://www.kaltonhotel.com,https://www.instagram.com/hotelkalton/?hl=es,,,,0
12,"Cabañas Calderón – Las Paredes",,5492604351626,5492604351626,"Avenida  Hipólito  Yrigoyen 2480 – Las Paredes",http://www.cabanascalderon.com.ar/,https://www.instagram.com/cabanascalderon/,,,,0
13,"HOT POLLO San Rafael - Ciudad",,,,"Domicilio  Avda Hipólito Yrigoyen 813 – Ciudad",,https://www.instagram.com/hot.pollo/?hl=es-la#,,,,0
14,"Cabañas Ermitazh – Valle Grande",,"km 13","5 – Valle Grande""","""Ruta Prov. 173",260154510202,,http://complejoermitazh.com/index.php,,,0
15,"Cabañas La Posta Del Cholo – Valle Grande",," km 24 – Valle Grande""",,"""Ruta Prov. 173",,,https://www.instagram.com/postadelcholo/?hl=es,,,0
16,"LA GRINGA (Restó) - Ciudad",,,,"Domicilio  Chile 26 – Ciudad",,https://www.instagram.com/lagringasr/,,,,0
17,"RISCO VIAJES E.V.T. - Excursiones Locales y Turismo Emisivo.",,,,"Av. San Martín 261 -Ciudad",https://www.riscoviajes.com/,https://www.instagram.com/riscoviajes/?hl=es-la,https://www.riscoviajes.com/,,,0
18,"Cabañas Las Rocas- Ciudad",,5492604599919,5492604599919,"Cangallo S N – Ciudad","http://cabañaslasrocas.com.ar/#!/-bienvenido/",,https://www.facebook.com/cabaniaslasrocas/,,,0
19,"Museo Posada Benelli - Las Paredes",,2604826030,2604826030,"Domicilio  Toledano norte 2960",,https://www.instagram.com/museoposadabenelli/,,,,0
20,"RIO AZUL (Parrilla -Restó) - Valle Grande",," km. 23.9""",,"""Ruta Prov. 173",,http://www.rioazulvallegrande.com.ar,https://www.instagram.com/rioazulvallegrande/,,,0
21,"Cabañas Espejos Del Río – Rama Caída",,260154223945154810160,260154223945154810160,"Ruta Prov. 175 s n Rama Caída",,https://www.instagram.com/espejosdelrio_alojamiento/,,,,0
22,"MILLANTI E.V.T. Excursiones Locales",,2604446540154062333,2604446540154062333,"Francia 56 -Ciudad",http://www.millantiviajes.com.ar/,https://www.instagram.com/millanti_viajes/,https://www.facebook.com/millanti/,,,0
23,"Big Bon - Ciudad",,,,"Av. Hipólito Yrigoyen 1625 – Ciudad",,https://www.instagram.com/bigbonresto/,https://www.facebook.com/Big-bon-100443642467974/,,,0
24,"LA DELICIA Heladería",,2604422016,2604422016,"Domicilio   Buenos Aires 51 – Ciudad",,https://www.instagram.com/ladeliciahelados/?hl=es,,,,0
25,"AL ANTOJO DEL COCINERO(Resto) - Ciudad",,"0261 333-7364","","Av. Balloffet 173 – Ciudad",https://www.facebook.com/Al-Antojo-del-Cocinero-401475969975590/?utm_source=foodlocate.com&utm_medium=referral,https://www.instagram.com/alantojodelcocinero/,https://www.facebook.com/Al-Antojo-del-Cocinero-401475969975590,,,0
26,"Nelumbo Petit Chalet – Las Paredes",,260154636280,260154636280,"Bentos 1400- Las Paredes",https://nelumbochalet.com.ar/,https://www.instagram.com/nelumbochalet/?hl=es,,,,0
27,"OLULA - Café de especialidad",,"  Ciudad""","","""Domicilio    República de Siria 96","",https://www.instagram.com/olulacafeteria/,https://www.instagram.com/olula.sr/,,,0
28,"Cabañas Río Soñado – Valle Grande",," km 13","5 – Valle Grande""","""Ruta Prov. 173",,,http://www.cabanasriosoniado.com.ar/,,,0
29,"MILLANTI E.V.T. Excursiones Locales",,2604446540154062333,2604446540154062333,"Francia 56 -Ciudad",http://www.millantiviajes.com.ar/,https://www.instagram.com/millanti_viajes/,https://www.facebook.com/millanti/,,,0
30,"Cabañas La Vita E Bella – Las Paredes",,5492604620272,5492604620272,"Las Vírgenes 1390  – Las Paredes",http://www.lavitaebella.com.ar/,https://www.instagram.com/lavitaebellacabanas/,,,,0
31,"MISS OLIVOS - (Visitas Guiadas- Venta de Productos) - Cuadro Benegas",,"5 – Cuadro Benegas""",2604510000,"""Domicilio  Ruta 144 km 674",,https://www.missolivos.com.ar/Instagram:,https://www.instagram.com/miss.olivos/,,,0
32,"KYLO Restó",,2604607528,2604607528,"Domicilio  Day 235 – Ciudad",,https://www.instagram.com/kylo.san.rafael/?hl=en,,,,0
33,"LA BICICLETA Resto Bar - Valle Grande",,"5 – Valle Grande""",,"""Domicilio  R. Prov. 173 km. 20",,,https://www.instagram.com/labicicletaresto/,,,0
34,"ENCUENTRO`S Café Resto Bar - Ciudad",,,,"Paseo de Los Niños 30- Parque Hipólito Yrigoyen- Ciudad",,,,,,0
35,"MORITA MIA- Complejo Vacacional - Rama Caída.",,1166757437,1166757437,"Calle Quiroga 500 – Rama Caída.-",https://moritamia.com.ar/,https://instagram.com/complejo.moritamia?utm_medium=copy_link,https://www.facebook.com/complejo.moritamia?mibextid=LQQJ4d,,,0
36,"EL NIHUIL (Restaurante-Parrilla) - El Nihuil",,549260565787,549260565787,"Domicilio  Grassi 65 – El Nihuil",,,,,,0
37,"Complejo Turístico Abraham- Ciudad",,260154322262,260154322262,"Perú 240 – Ciudad",,https://www.instagram.com/abraham_complejo_turistico/,,,,0
38,"Complejo Villa Hermosa – Rama Caída",,,,"La Bodega S N – Rama Caída",http://complejovillahermosa.com/,,,,,0
39,"BUFETT TERMINAL DE OMNIBUS - Ciudad",,,,"Gral. Paz 980 – Ciudad",,,,,,0
40,"Hostel Amukan - Ciudad",,,,"Av. 9 de Julio 1336 – Ciudad",,https://www.instagram.com/amukangh/?hl=es-la,,,,0
