Nombre,term_id
Hotel Rex &#8211; 1 estrella,111
Suter Petit Hotel – Las Paredes,111
Nelumbo Petit Chalet – Las Paredes,111
Nihuil Hotel – El Nihuil,111
Hotel Ciudad – 1 Estrella,111
Hotel Francia &#8211; Ciudad,111
Hotel Dalí- 1 Estrella,111
Hotel Inti’s- 1 Estrella,111
Hotel Balloffet – 1 Estrella,111
Hotel Alas- 1 Estrella,111
Hotel Regine- 2 Estrellas,111
Hotel Bonito – 2 Estrellas,111
Hotel Almería – 2 Estrellas,111
Valle Grande Hotel de Montaña- 3 Estrellas,111
Hotel San Rafael – 3 Estrellas,111
Hotel Nuevo Mundo – 3 Estrellas,111
Hotel Nitra II – Valle Grande – 3 Estrellas,111
Hotel Kalton – 3 Estrellas,111
Hotel Family Inn – Las Paredes – 2 Estrellas,111
Hotel Tower Inn &#038; Suites – 4 Estrellas,111
COMPLEJO UTN Los Reyunos,112
VIENTO ANDINO Complejo de Cabañas,112
Cabañas La Montielita &#8211; Rama Caída,112
CABAÑAS ELITA &#8211; Rama Caída,112
MORITA MIA- Complejo Vacacional &#8211; Rama Caída.,112
MARTYNIUK Lodge &#8211; Las Paredes,112
Cabañas BET-EL &#8211; Rama Caída,112
La Finca Multiespacio &#8211; Ciudad,112
POSADA DE CAMPO PURA VIDA &#8211; Rama Caída,112
Cabañas Inti Co &#8211; Los Reyunos,112
Cabañas Los Nietos- Ciudad,112
Martina Manuel Cabañas – Valle Grande,112
Los Cactus – Rama Caída,112
Cabañas Altos la Villa – Villa 25 de Mayo,112
Cabañas Ayres de Cuyo – Las Paredes,112
Cabañas Expoarte -Las Paredes,112
Complejo Villa Hermosa – Rama Caída,112
Cabañas Camino al Valle- Rama Caída,112
Cabañas San José Del Atuel- Rama Caída,112
Cabañas del Puente – Las Paredes,112
Cabañas Acacias de la Villa – Villa 25 de Mayo,112
Cabañas Jim-Yes – Rama Caída,112
Cabañas Postal de los Cerros Finca – Rama Caída,112
Barrancas Suites – Villa 25 de Mayo,112
Cabañas La Martina Casa de Campo – Rama Caída,112
Cabañas Rincón Azul – Rama Caída,112
Cabañas Los Chalecitos – Valle Grande,112
Cabañas Posada Del Angel- Valle Grande,112
Cabañas Tierra Virgen – Villa 25 de Mayo,112
Lucy Sol Cabañas – Las Paredes,112
Cabañas Los Niyus – Rama Caída,112
