post_title,listing_category,_address,_phone,_whatsapp,_email,_website,_instagram,_facebook,_thumbnail_id,_gallery,_geolocation_lat,_geolocation_long,post_content
Hotel Rex - 1 estrella,Hoteles,Domicilio  Avda. Hipólito Yrigoyen 56,2604014779,2604014779,,,https://www.instagram.com/hotel_rex2024/,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-1.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-1.jpg,-34.6157448,-68.330369,Hotel Rex - 1 estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2025/08/24/hotel-rex-1-estrella/
Suter Petit Hotel – Las Paredes,Hoteles,Av. Hipolito Yrigoyen 3003 – Las Paredes,154808681,154808681,,http://www.suterhotel.com.ar/,https://www.instagram.com/suter.petit.hotel/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/suter-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/suter-hotel.jpg,-34.5910753,-68.4038708,Suter Petit Hotel – Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/suter-petit-hotel-las-paredes/
Nelumbo Petit Chalet – Las Paredes,Hoteles,Bentos 1400- Las Paredes,260154636280,260154636280,,https://nelumbochalet.com.ar/,https://www.instagram.com/nelumbochalet/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nelumbo-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nelumbo-hotel.jpg,-34.6089503,-68.397345,Nelumbo Petit Chalet – Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/nelumbo-petit-chalet-las-paredes/
Nihuil Hotel – El Nihuil,Hoteles,El Nihuil  a 75 km. de Ciudad de San Rafael,,,,https://www.smata.com.ar/el-nihuil-hotel/,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/el-nihuil-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/el-nihuil-hotel.jpg,-34.611168,-68.337523,Nihuil Hotel – El Nihuil en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/nihuil-hotel-el-nihuil-solo-temporada-estival/
Hotel Ciudad – 1 Estrella,Hoteles,Entre Ríos 96 – Ciudad,2604385362,2604385362,,,https://www.instagram.com/hotel.ciudadsr/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ciudad-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ciudad-hotel.jpg,-34.6194122,-68.3327934,Hotel Ciudad – 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-ciudad-1-estrella/
Hotel Francia - Ciudad,Hoteles,Francia 248 – Ciudad,26015433729202604429351,26015433729202604429351,,https://alojamientofrancia.com.ar/,https://www.instagram.com/hotel_francia/,Hotel Francia,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/francia-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/francia-hotel.jpg,-34.6149283,-68.3264212,Hotel Francia - Ciudad en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-francia/
Hotel Dalí- 1 Estrella,Hoteles,Belgrano 44 – Ciudad,,,,http://www.dalihotel.com.ar/,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-dali.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-dali.jpg,-34.6127619,-68.3288432,Hotel Dalí- 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-dali-1-estrella/
Hotel Inti’s- 1 Estrella,Hoteles,Corrientes 35 – Ciudad – GPS S  34º 37.098  O  68º 19.889,2601545570742604129999,2601545570742604129999,,,https://www.instagram.com/hotelintis_/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/intis-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/intis-hotel.jpg,-34.618434,-68.331611,Hotel Inti’s- 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-intis-1-estrella/
Hotel Balloffet – 1 Estrella,Hoteles,Av. Balloffet 326 – Ciudad,,,,,,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-balloffet.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-balloffet.jpg,-34.615832005914,-68.342687994401,Hotel Balloffet – 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-balloffet-1-estrella/
Hotel Alas- 1 Estrella,Hoteles,Comandante Salas 51 – Ciudad,26044227324437435,26044227324437435,,http://www.alashotel.com.ar/elhotel.html,https://www.instagram.com/hotelalas/?hl=es,,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/alas-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/alas-hotel.jpg,-34.6147689,-68.3322289,Hotel Alas- 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-alas-1-estrella/
