post_title,listing_category,_thumbnail_id,_gallery,_phone,_whatsapp,_email,_website,_address,_instagram,_facebook,post_content
Hotel Rex - 1 estrella,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-1.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-1.jpg,2604014779,2604014779,,,es,https://www.instagram.com/hotel_rex2024/,,Hotel Rex - 1 estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2025/08/24/hotel-rex-1-estrella/
Suter Petit Hotel – Las Paredes,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/suter-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/suter-hotel.jpg,154808681,154808681,,http://www.suterhotel.com.ar/,es,https://www.instagram.com/suter.petit.hotel/?hl=es,,Suter Petit Hotel – Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/suter-petit-hotel-las-paredes/
Nelumbo Petit Chalet – Las Paredes,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nelumbo-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nelumbo-hotel.jpg,,,,https://nelumbochalet.com.ar/,es,https://www.instagram.com/nelumbochalet/?hl=es,,Nelumbo Petit Chalet – Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/nelumbo-petit-chalet-las-paredes/
Nihuil Hotel – El Nihuil,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/el-nihuil-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/el-nihuil-hotel.jpg,,,,https://www.smata.com.ar/el-nihuil-hotel/,es,,,Nihuil Hotel – El Nihuil en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/nihuil-hotel-el-nihuil-solo-temporada-estival/
Hotel Ciudad – 1 Estrella,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ciudad-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/ciudad-hotel.jpg,,,,,es,https://www.instagram.com/hotel.ciudadsr/?hl=es,,Hotel Ciudad – 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-ciudad-1-estrella/
Hotel Francia - Ciudad,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/francia-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/francia-hotel.jpg,,,,https://alojamientofrancia.com.ar/,es,https://www.instagram.com/hotel_francia/,Hotel Francia,Hotel Francia - Ciudad en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-francia/
Hotel Dalí- 1 Estrella,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-dali.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-dali.jpg,,,,http://www.dalihotel.com.ar/,es,,,Hotel Dalí- 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-dali-1-estrella/
Hotel Inti’s- 1 Estrella,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/intis-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/intis-hotel.jpg,,,,,es,https://www.instagram.com/hotelintis_/?hl=es,,Hotel Inti’s- 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-intis-1-estrella/
Hotel Balloffet – 1 Estrella,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-balloffet.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-balloffet.jpg,,,,,es,,,Hotel Balloffet – 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-balloffet-1-estrella/
Hotel Alas- 1 Estrella,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/alas-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/alas-hotel.jpg,,,,http://www.alashotel.com.ar/elhotel.html,es,https://www.instagram.com/hotelalas/?hl=es,,Hotel Alas- 1 Estrella en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-alas-1-estrella/
Hotel Regine- 2 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-regine.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-regine.jpg,5492604531997,5492604531997,,http://www.hotelregine.com.ar,es,https://www.instagram.com/hotelregine/?hl=es,,Hotel Regine- 2 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-regine-2-estrellas/
Hotel Bonito – 2 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/Hotel-Bonito-tarjeta-digital.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/Hotel-Bonito-tarjeta-digital.jpg,5492604566882,5492604566882,,,es,https://www.instagram.com/bonitohotel_sr/?hl=es,,Hotel Bonito – 2 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-bonito-2-estrellas/
Hotel Almería – 2 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/almeria-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/almeria-hotel.jpg,,,,http://www.almeriahotel.com.ar,es,https://www.instagram.com/hotel_almeria_san_rafael/?hl=es,,Hotel Almería – 2 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-almeria-2-estrellas/
Valle Grande Hotel de Montaña- 3 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-valle-grande-1.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/hotel-valle-grande-1.jpg,5492604401313,5492604401313,,http://www.hotelvallegrande.com,es,,,Valle Grande Hotel de Montaña- 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/valle-grande-hotel-de-montana-3-estrellas/
Hotel San Rafael – 3 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/san-rafael-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/san-rafael-hotel.jpg,,,,http://www.sanrafaelhotel.com.ar,es,,,Hotel San Rafael – 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-san-rafael-3-estrellas/
Hotel Nuevo Mundo – 3 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nuevo-mundo-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nuevo-mundo-hotel.jpg,5492604630087,5492604630087,,,es,https://www.instagram.com/hotelnuevomundo1503/?hl=es,,Hotel Nuevo Mundo – 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-nuevo-mundo-3-estrellas/
Hotel Nitra II – Valle Grande – 3 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nitraa-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nitraa-hotel.jpg,2604530067,2604530067,,http://www.hotelesnitra.com.ar/hotel-san-rafael.html,es,,,Hotel Nitra II – Valle Grande – 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-nitra-ii-valle-grande-3-estrellas/
Hotel Kalton – 3 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/Logo-Kalton.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/Logo-Kalton.jpg,,,,http://www.kaltonhotel.com,es,https://www.instagram.com/hotelkalton/?hl=es,,Hotel Kalton – 3 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-family-inn-las-paredes-2-estrellas-2/
Hotel Family Inn – Las Paredes – 2 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/family-inn-hotel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/family-inn-hotel.jpg,,,,http://www.familyinnsanrafael.com.ar,es,,,Hotel Family Inn – Las Paredes – 2 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-family-inn-las-paredes-2-estrellas/
Hotel Tower Inn & Suites – 4 Estrellas,Hoteles,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/HOTEL-TOWER.png,https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/HOTEL-TOWER.png,,,,http://www.towersanrafael.com,es,https://www.instagram.com/towerhotelsuites/?hl=es,,Hotel Tower Inn & Suites – 4 Estrellas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2022/03/07/hotel-tower-inn-suites-4-estrellas/
COMPLEJO UTN Los Reyunos,Cabañas,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-2.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-2.jpg,2604021708,2604021708,,https://www.reyunos.utn.edu.ar/habitaciones.html,es,https://www.instagram.com/utn_losreyunos/?hl=es,,COMPLEJO UTN Los Reyunos en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2025/08/24/complejo-utn-los-reyunos/
VIENTO ANDINO Complejo de Cabañas,Cabañas,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/06/e97c0d1b-cb2d-4e7d-9470-f473e52fb692.jpeg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/06/e97c0d1b-cb2d-4e7d-9470-f473e52fb692.jpeg,5492604400666,5492604400666,,https://www.vientoandino.com.ar/?fbclid=PAZXh0bgNhZW0CMTEAAac9ZGGQsolyho_eHdiohl7EJPDeHHd6VuI_1JG7q4ZcAFtoc6kJ8SOed32dsQ_aem_qluQ6l4F4DLacakHk2ZCZQ,es,https://www.instagram.com/complejovientoandino?igsh=cWw5amQzdHoxMTAz&utm_source=qr,,VIENTO ANDINO Complejo de Cabañas en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2025/06/25/viento-andino-complejo-de-cabanas/
Cabañas La Montielita - Rama Caída,Cabañas,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/06/La-Montielita-Fondo-01-scaled.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/06/La-Montielita-Fondo-01-scaled.jpg,2604056615,2604056615,,https://www.lamontielita.com.ar/,es,https://www.instagram.com/lamontielitamza/,,Cabañas La Montielita - Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2025/06/03/cabanas-la-montielita-rama-caida/
CABAÑAS ELITA - Rama Caída,Cabañas,https://sanrafaelturismo.gov.ar/wp-content/uploads/2024/09/8b792104-d824-42bd-82d9-7426efdf3004.jpeg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2024/09/8b792104-d824-42bd-82d9-7426efdf3004.jpeg,541132636242,541132636242,,,es,https://www.instagram.com/elitasanrafael,https://www.facebook.com/ElitaSanRafael/,CABAÑAS ELITA - Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2024/09/11/cabanas-elita-rama-caida/
MORITA MIA- Complejo Vacacional - Rama Caída.,Cabañas,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/04/68a8f625-1280-49cd-a438-bf9328627d74.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/04/68a8f625-1280-49cd-a438-bf9328627d74.jpg,01166757437,01166757437,,https://moritamia.com.ar/,es,https://instagram.com/complejo.moritamia?utm_medium=copy_link,https://www.facebook.com/complejo.moritamia?mibextid=LQQJ4d,MORITA MIA- Complejo Vacacional - Rama Caída. en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2023/04/18/morita-mia-complejo-vacacional-rama-caida/
MARTYNIUK Lodge - Las Paredes,Cabañas,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/martiniuk.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/martiniuk.jpg,5491130400204,5491130400204,,http://martyniuk.ar/,es,https://www.instagram.com/martyniuk_lodges/?utm_medium=copy_link,,MARTYNIUK Lodge - Las Paredes en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2023/01/27/martyniuk-lodge-las-paredes/
Cabañas BET-EL - Rama Caída,Cabañas,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/betel.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/betel.jpg,,,,,es,https://www.instagram.com/betelsanrafael/?hl=es-la,https://www.facebook.com/cabanasbetelsanrafael,Cabañas BET-EL - Rama Caída en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2023/01/09/cabanas-bet-el-rama-caida/
La Finca Multiespacio - Ciudad,Cabañas,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/Captura.jpg,https://sanrafaelturismo.gov.ar/wp-content/uploads/2023/01/Captura.jpg,5492604410548,5492604410548,,https://www.lafinca.com.ar/,es,https://www.instagram.com/cabanaslafincamultiespacio/,,La Finca Multiespacio - Ciudad en San Rafael. Más información en: https://sanrafaelturismo.gov.ar/2023/01/09/la-finca-multiespacio-ciudad/
